,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
1825,852,Canela Wind Farm Project,ENDESA S.A.,Gold Standard Certified Design,"13,7,8",Wind,Chile,"Canela Wind Farm is a wind park station project located in the fourth region of   Chile and being developed by Endesa Eco (EndesaEco is a subsidiary of Endesa   Chile.). The installation has an installed capacity of 18.15 MW and relies on wind   energy to generate electricity for the SIC (Sistema Interconectado Central). The   purpose of the project is to generate electricity from renewable wind resources   along the coast of Chile. Additionally, the project was pioneer in the generation   of electricity from wind power in the SIC as it was the first wind farm to enter the   energy mix in the largest interconnected electricity system in Chile (SIC).    Canela Wind Farm Project reduces greenhouse gas emissions produced by   thermal electric plants using fossil fuels that are currently in operation in Chile.   With an annual generation of 47,698 MWh, the Project reduces emissions by   27,251 tons of CO2e. In April 3rd 2009, Canela Wind Park has achieved   registration under the Clean Dev",27251,ACM0002 Grid-connected electricity generation from renewable sources,Large scale,Standalone,,0
1826,817,Arakalagudu Biodigester Project II,GoodPlanet,Gold Standard Certified Project,"13,15,3",Biogas - Heat,India,"The project is to install a 2 cubic meter bio gas generation per day capacity   biodigester for around 1000 house holds in Arakalagudu taluk of Hassan   District, Karnataka State, India.  The bio digester unit will treat animal manure in   anaerobic condition and produce bio gas which will replace the traditional   inefficient firewood waste cook stove.  In door air pollution can be avoided by   using clean biogas stove.      This project is being carried out by SKG Sangha, India.",3500,GS Baseline and Monitoring Methodology Biodigester v1.,Microscale,Standalone,,0
1827,715,Adana Landfill Waste Management Project Turkey,ITC Invest Trading & Consulting AG Ankara Branch,Gold Standard Certified Project,"13,7,8",Other,Turkey,"Adana Landfill Gas Collection and Energy Utilisation Project is located at the   Adana   Landfill in the city of Adana, in the South Mediterranean Region of Turkey. The   landfill receives the daily amount of waste of approximately 1000-1500 tonnes.   The proposed project involves the covering of the landfill with soil, the   installation   of a gas extraction system, the installation of other treatment units, and the   installation of gas engines to generate electricity to feed to the national grid.",336701,ACM0001 Flaring or use of landfill gas,Large Scale,Standalone,,0
1828,849,Social Education and Development Society (SEDS) Biogas CDM project for the rural poor,Social Education & Development Society (SEDS),Gold Standard Certified Project,"13,3,12","Biomass, or Liquid Biofuel - Heat",India,"The purpose of this Biogas CDM Project activity is to set up 5,000 biogas plants   (digesters) of 2 m3 capacity each for single households in 5 Mandals of   Anantapur District. By utilizing cattle dung in a controlled anaerobic digestion   and combustion system, biogas will be available for cooking energy and heating   hot water.The project would be implemented upon registration of the project as   a CDM project activity, as the project will be financed completely from carbon   revenues. The project contributes to social, environmental, economic and   technological benefits which contribute to sustainable development of the local   environment and the country.",15749,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Small Scale,Standalone,,0
1829,710,Federal Intertrade Haiyuan Solar Cooker Project,Clean Air Trade Inc.,Gold Standard Certified Project,"13,15,3",Solar Thermal - Heat,China,"The proposed project is located on the dry land of southern Ningxia in   northwestern China. Implemented by Ningxia Federal Intertrade Co., Ltd, the   project will install 17,000 solar cookers for the poor rural residents in   mountainous area and thus enabling them to efficiently substitute solar energy   for the fossil fuel (coal) used in daily cooking and water boiling. The project   activity will provide rural residents with a clean, practical and convenient way to   meet the energy demand of their daily cooking. The project will serve as a model   for future project and stimulate the interests of investors in solar energy   projects. It will promote the use of clean energy, educate and train the rural   population on solar energy technology, and build awareness in environmental   protection among the rural population. The experienced personnel trained by   this project can assist other projects in the future.",33482,AMS-I.C. Thermal energy production with or without electricity,Small Scale,Standalone,,0
1830,707,LANDFILL GAS EXTRACTION AND ELECTRICITY GENERATION PROJECT - ISTANBUL TURKEY,Ortadogu Enerji A.S.,Gold Standard Certified Project,"13,6,7,8",Other,Turkey,"The project involves the development, and construction of two waste-to-energy   facilities at both the Odayeri and Komurcuoda landfill sites. The project objective   is to build, operate, and maintain two landfill waste-to-energy systems   consisting of landfill gas (LFG) collection systems, flaring stations, and gas   engines coupled with generators to produce electricity. The gas engines will   combust the LFG to produce electricity, and any excess LFG will be flared.",818841,ACM0001 Flaring or use of landfill gas,Large Scale,Standalone,,0
1831,696,Orb Energy Solar Project India,J.P. Morgan,Gold Standard Certified Project,"13,7,8",Solar Thermal - Electricity,India,"The project involves increasing access and penetration of solar PV and solar   thermal systems in India, through the establishment of a network of Orb Energy   branches and franchised branches.     With increased penetration of solar systems, more and more households will   switch from use of either grid electricity, fuel wood, LPG, diesel or kerosene in   energy provision to solar systems.    By switching to use of solar systems for energy provision, the proposed project   therefore will realise emissions reductions arising from reduced consumption of   grid electricity, LPG, diesel, kerosene and use of wood.",22832,AMS-I.A. Electricity generation by the user,Small Scale,Standalone,,0
1832,695,Energy Efficiency Improvement by introducing Micro-Irrigation Systems (MIS) in Banana Cultivation Jalgaon District Maharashtra,ClimateCare Limited,Listed,"13,15,8",Energy Efficiency - Agriculture Sector,India,"The main activity of this project is the reduction of Carbon   dioxide emissions associated with water pumping for flood   irrigation of selected agricultural fields in India. The proposed   project will replace conventional irrigation techniques with   Micro-Irrigation Systems (MIS) that will reduce energy   consumption from water pumping. MIS comprise Drip Systems   and Sprinklers that deliver water directly to the root zone of   crops. Besides its contributions to electricity saving, the   project offers a range of other environmental and social   benefits.",9776,,Small Scale,Standalone,,0
1833,689,Zhaoyang rural household biogas tank program,Initiative Developpement,Gold Standard Certified Project,"13,3,12",Biogas - Heat,China,Construction of Biogas tanks in remote villages. The aim of the   project is that beneficiaries use biogas instead of fossil fuel or   firewood to cook. The building of latrines and pigsties above the   tank should also improve hygiene in the family.,2816,GS Baseline and Monitoring Methodology Biodigester v1.,Microscale,Standalone,,0
1834,688,GS688-SUEN East Turkey Hydro PoA in Turkey,ClimateCare Limited,Listed,"13,9,7","Small, Low - Impact Hydro",Turkey,Construction of two run-off-river hydroelectrical power plants with 56.52 GWh annual electricity generation in Maçka county of Trabzon city /TURKEY,0,AMS-I.D. Grid connected renewable electricity generation,Small Scale,POA,,0
1835,687,Jilin Huaneng Zhenlai Mali Wind Power Project,Tricorona Carbon Asset Management Pte Ltd,Gold Standard Certified Project,"13,7,8",Wind,China,"The Huaneng Zhenlai Mali Wind Power Project is located in Zhenlai County,   Baicheng City, Jilin Province, P.R.C. It involves the installation of 33 turbines,   each of which has a rated output of 1500kW, providing a total capacity of   49.5MW. The annual output of the proposed project is estimated to be   102,000MWh. The electricity to be generated will be sold to Northeast China   Power Grid. The starting date of the project activity is 2009-05-01 and expected   lifetime of 20 years.",116317,ACM0002 Grid-connected electricity generation from renewable sources,Large scale,Standalone,,0
1836,685,GS1005 Qori Q'oncha - Improved cookstoves diffusion programme in Peru - VPA1,MICROSOL SAS,Gold Standard Certified Project,"13,15,4,3,7,8,1",Energy Efficiency - Domestic,Peru,"This programme of activities supports the local production and use of efficient   cookers with chimneys in remote households.    The programme, in which different local non-governmental organizations in   Peru are involved, primarily aims to improve the living conditions of the local   population in the long run. This is made possible through the introduction of   efficient cookers with chimneys. In addition to a positive contribution to the   sustainable development on-site, this project also contributes to alleviating the   environmental pollution. The demand for not sustainably managed wood can be   lowered through the use of efficient cookers. This leads to a reduction of CO2   emissions and protects the local forest.    The new cookers are very efficient. The optimized design, made using local   materials, reduces the firewood demand, which in turn reduces the pressure on   the scarce, weakened forests in the region.",98904,GS Methodology for Improved Cook stoves and Kitchen Regimes v1.,Large Scale,VPA,1005.0,0
1837,683,Bandirma-3 WPP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Project,"13,7,8",Wind,Turkey,The project site is located on the grassland between Bezirci and Carik villages to   the South-west of Bandirma/Balikesir.,80108,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1838,676,10 MW Biomass Power Project in Amreli District Gujarat India,ClimateCare Limited,Listed,"13,7,8","Biomass, or Liquid Biofuel - Electricity",India,"The project is a 10 MW grid connected biomass based power project situated in   Amreli district of Gujrat State.  The technology employed by the project is direct   combustion of biomass fuels in a boiler to generate high pressure and high   temperature steam, which further drives a steam turbine generator set.   The generated voltage at 11 KV from the turbine generator is stepped-up to   66/220 KV voltage level and exported to the grid.Thus the plant and machinery   of the project includes a high pressure boiler, extraction cum condensing   turbo-generator, power transformers, power evacuation facilities and auxiliaries   such as cooling tower, water treatment plant, compressed air system, ash   handling system such as Electro Static Precipitator etc.",49346,,Small Scale,Standalone,,0
1839,675,Sincan Landfill Gas Collection and Energy Utilization Project Turkey,ITC Invest Trading & Consulting AG Ankara Branch,Gold Standard Certified Project,"13,7,8",Other,Turkey,"The Sincan Landfill Gas Collection and Energy Utilization Proejct is located at the   Sincan-Çadirtepe landfill site in the city of Ankara, the capital of Turkey. The   landfill receives the waste of approximately 1.0 million people living in 5   municipalities of the Ankara Greater Municipality. The daily average amount of   waste landfilled is 1000-1500 ton. The proposed project involves the covering   of the landfill with soil, the installation of a gas extraction system, installation of   other treatment units, installation of gas engines to produce energy and flaring   equipment. The produced electricity will be delivered to the national grid.",146072,ACM0001 Flaring or use of landfill gas,Large Scale,Standalone,,0
1840,6420,GS1340 Efficient cookstoves in Burkina Faso – VPA-13 - tiipaalga F3PA cookstoves in Kourwéogo,Tiipaalga,Gold Standard Certified Project,"13,4,5,3,7",Energy Efficiency - Domestic,Burkina Faso,"In rural Burkina Faso woody biomass from local forests is the principle source of energy for everyday cooking. This micro-scale VPA project promotes the distribution and use of the “F3PA"" (or 3-stones mud) efficient cook stove in the Central rural zones of Burkina Faso more specifically in the Province of Kourwéogo. The F3PA wood stoves will replace the traditional open air three stone cooking method whilst respecting the local three stone cooking culture.",10000,GS MS Simplified Methodology for Efficient Cookstoves v1.,Micro scale,VPA,1340.0,0
1841,672,Düzova Wind Power Project Turkey,Fina Enerji Holding A.Ş.,Gold Standard Certified Project,"13,6,7,8",Wind,Turkey,"Duzova WPP, owned by Utopya Elektrik Uretim Sanayi ve Ticaret A.S., a subsidiary of Fina Enerji, is located near Asagikiriklar Village in Bergama District of Izmir Province in Turkey. The purpose of Duzova WPP is to utilize wind energy potential of Turkey by reducing dependence on fossil fuels in a clean, reliable and sustainable way with utmost respect on social and environmental aspects in the region. The plant went into operation in August 2009 with a generation capacity of 15 MW. Through the capacity extensions, Duzova WPP reached to the capacity of 50 MW with 20 turbines each having 2.5 MW capacity. The emission reductions after the capacity extension to 50 MW are expected to be around 92,000 t CO2 per year.",92015,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1842,670,Kolar Biogas Project,myclimate Foundation,Gold Standard Certified Project,"13,15,4,17,2,5,3,7,8,1,12",Biogas - Heat,India,The proposed project will provide biogas units to households in rural areas of Kolar District in Karnataka  State in India. The project will reduce the amount of fuel wood and kerosene used for cooking and  heating water and will replace inefficient traditional cooking stoves with cleaner biogas stoves. The  project will also reduce methane emissions from cattle manure and will contribute strongly to the  sustainable development of the rural households involved in the project.,24978,AMS-I.C. Thermal energy production with or without electricity,Small Scale,Standalone,,0
1843,666,Installation of Biogas Plant by INSEDA Members & Partners,First Climate Markets AG,Gold Standard Certified Project,"13,3,12",Biogas - Electricity,India,"The purpose of the project activity is to contribute towards the sustainable   development of the country through the implementation of household biogas   plant and switching from  non-renewable biomass like firewood to renewable   biogas generated from utilizing animal waste in the rural areas of Kerala and   Madhya Pradesh. In the presence of the project activity clean gas from bio   digesters generated by utilizing animal and other organic waste is utilized.   Thus, the hygienic conditions in the project areas will be improved.  In addition,   the project activity will lead to reductions in  greenhouse gase emissions by   displacing conventionally used fuel sources for cooking. Residues from the bio   digesters   can be used as organic fertilizer and will improve soil conditions in the project   areas.",24170,,Small Scale,Standalone,,0
1844,663,ARALIK HEPP ,RESADIYE HAMZALI ELEKTRIK ÜRETIM SANAYI VE TICARET ANONIM SIRKETI,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",Turkey,Aralýk is a 12.51 MW run off river type HEPP. The Project is located in Aralýk   town of Borçka district which is in the province of Artvin City. The Site is   accessed to Borçka and Artvin via a paved town road of 10 km and 45 km long   respectively.  Elevation of the Site is 125 m. Project is expected to generate   about 45GWh of electricity per year.,29482,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
1845,662,Blue Fire Bio wastewater treatment and biogas utilisation project (300147),South Pole Carbon Asset Management Ltd.,Gold Standard Certified Project,"13,3,12",Biogas - Cogeneration,Thailand,The proposed project entails the installation of two upflow anaerobic sludge   blanket technology (UASB) biogas reactors and up to 3MWel gas engines at an   existing starch factory in Thailand for:  a) the extraction of methane (biogas) from the wastewater stream through the   biogas reactors;  b) the reuse of biogas as fuel in existing thermal boiler within the plant for   starch drying; and  c) the reuse of biogas as fuel for power generation.,51817,AMS-I.C. Thermal energy production with or without electricity,Small Scale,Standalone,,0
1846,660,Lam Soon Forced Methane Extraction from Organic Waste-Water Treatment Plant for energy generation in production process,Swiss Carbon Assets Ltd.,Gold Standard Certified Project,"13,4,8",Biogas - Electricity,Thailand,"The purpose of the Forced Methane Extraction from Organic   Waste-Water   Treatment Plant for energy generation in production process   is to shift from   traditional waste water treatment in open, anaerobic ponds   with uncontrolled   release of methane to the atmosphere to a closed digester   system with biogas   capture and utilized for electricity generation. Hence, the   ultimate purpose of   the project activity is to reduce greenhouse gas emissions to   the atmosphere   and contribute to an environmentally and socially sustainable   development of   palm oil production at Lam Soon (Thailand) Public Company   Limited",9754,AMS-III.H. Methane recovery in wastewater treatment,Small Scale,Standalone,,0
1847,848,Alabalik I-II HEPP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Design,"13,9,7","Small, Low - Impact Hydro",Turkey,"Proposed project consists of two consecutive hydroelectric power plants,   Alabalýk –I HEPP (11.36MW) and Alabalýk-II HEPP (4.955 MW) designed on   Alabalýk creek having total capacity of 16.315 MW installed capacity. Since the   installed capacity is above 15MW, project is classified as large scale and   developed as a voluntary emission reduction project.",28368,ACM0002 Grid-connected electricity generation from renewable sources,Large scale,Standalone,,0
1848,659,UPOIC Forced Methane Extraction from Organic Waste-Water Treatment Plant for energy generation in production process,Swiss Carbon Assets Ltd.,Gold Standard Certified Project,"13,3,12",Biogas - Electricity,Thailand,"The purpose of the project “Forced Methane Extraction from   Organic Waste-  Water Treatment Plant for energy generation in production   process"" is to shift   from traditional wastewater treatment in open, anaerobic   ponds with   uncontrolled release of methane to the atmosphere to a   closed digester system   with biogas capture and utilization. Hence, the ultimate   purpose of the project   activity is to reduce greenhouse gas emissions to the   atmosphere and   contribute to an environmentally and socially sustainable   development of palm   oil production at United Palm Oil Industry Public Company   Limited (UPOIC).",18001,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
1849,713,24 MW wind power project in Tamil Nadu India,Emergent Ventures India Private Limited,Listed,"13,7,8",Wind,India,"This project activity is the installation of 16 numbers of Wind Turbine Generators   (WTGs) of 1500 kW each of Suzlon make in Madhavakuruchi village (near   Devarkulam Town), Tirunelveli District in the State of Tamil Nadu in Southern   India. The project proponent M/s. Green Infra Wind Farms Limited (GIWFL)is a   subsidiary of Green Infra Limited (GIL). GIL is an IDFC private equity enterprise   specifically incorporated for making investments in renewable energy projects.   This is GIWFLï¿½s first foray into development of wind power projects and has   plans to invest in renewable energy projects over a period of time in a sustained   manner.",49480,,Large scale,Standalone,,0
1850,655,Soma Wind Power Plant,Bilgin Güc Santralleri Enerji Üretim A.S,Gold Standard Certified Project,"13,7,8",Wind,Turkey,"The Soma Wind Farm is expected to be a 90 MW wind power project in the   Manisa region of western Turkey. In total there will be 36 turbines each of 2.5   MW capacity. The annual electricity generation is expected to be as 360,000   MWh Construction is due to start in July 2008, with commissioning due in mid   2010. Its location will make the most of the good wind resource in this Aegean   region.  The project is expected to generate a total of 168,224 tonnes of CO2e GHG   emission reductions by clean renewable electricity each year, displacing the   predominately fossil fuel powered grid.",163556,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1851,653,Söke-Çatalbük 30 MW Wind Power Project Turkey,ABK Enerji Elektrik retim A._.,Gold Standard Certified Project,"13,7,8",Wind,Turkey,"The project of ABK Enerji Elektrik Üretim A.&#350;.,Söke Çatalbük Wind Power Project,   involves installation and operation of 12-15 turbines (exact information about   model and number of the turbines cannot be indicated as turbine selection   analysis are continuing), with rated power output of 2.0-2.5 MW each to best   suit the local conditions of Yenido&#287;an Municipality of Söke District in the   province of Ayd&#305;n, Turkey. The generation of total capacity of 29.40-30.00 MW   will be connected to a switchyard, where the voltage will be steeped up to 154   kV and the power will be fed to the grid through Söke Substation of the Turkish   Electricity Transmission Company (TEIAS).",51841,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1852,6523,GS1247 VPA 147 Manicaland Safe Water,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Zimbabwe,"The Micro-Scale Voluntary Project Activity  in Manicaland Province (Zimbabwe) is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within Manicaland. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1853,6522,GS1247 VPA 146 Manicaland Safe Water,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Zimbabwe,"The Micro-Scale Voluntary Project Activity  in Manicaland Province (Zimbabwe) is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within Manicaland. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1854,6521,GS1247 VPA 145 Manicaland Safe Water,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Zimbabwe,"The Micro-Scale Voluntary Project Activity  in Manicaland Province (Zimbabwe) is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within Manicaland. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1855,6520,GS1247 VPA 144 Manicaland Safe Water,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Zimbabwe,"The Micro-Scale Voluntary Project Activity  in Manicaland Province (Zimbabwe) is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within Manicaland. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1856,6519,GS1247 VPA 143 Manicaland Safe Water,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Zimbabwe,"The Micro-Scale Voluntary Project Activity  in Manicaland Province (Zimbabwe) is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within Manicaland. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1857,6518,GS1247 VPA 142 Manicaland Safe Water,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Zimbabwe,"The Micro-Scale Voluntary Project Activity  in Manicaland Province (Zimbabwe) is eligible under the Gold Standard methodology Technologies and Practices to Displace Decentralized Thermal Energy Consumption Version 1. The project will support the provision of safe water using borehole technology to hundreds of households within Manicaland. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide emissions from the combustion process.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1858,651,YAVUZ HEPP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Design,"13,9,7","Small, Low - Impact Hydro",Turkey,"YAVUZ HEPP is a 5,9 MW run off river type plant located within boundaries of   Yusufeli district of Artvin. Annual generation capacity of the project is calcualted as   17.28 GWh. Corresponding emission reduction is calculated as about 10,890 tCO2   per year.",10890,ACM0002 Grid-connected electricity generation from renewable sources,Small Scale,Standalone,,0
1859,6502,PNG Biomass Markham Valley Energy project,Swiss Carbon Value Ltd.,Gold Standard Certified Design,"13,7,8","Biomass, or Liquid Biofuel - Electricity",Papua New Guinea,"The PNG Biomass Markham Valley Energy project is located in Papua New Guinea in the Morobe province. It consists of the installation of a new grid-connected power plant with a total installed dispatchable capacity of 30 MW, composed of a generation unit with maximum generation capacity of 36 MW before auxiliary and wood chipping power usage. The project involves the development of around 15,000 ha of dedicated fuel wood plantations. The total emission reductions expected from the project are 2,593,554 tCO2.
",153375,ACM0018 Electricity generation from biomass residues in power-only plants,Large scale,Standalone,,0
1860,645,RESADIYE III HEPP ,RESADIYE HAMZALI ELEKTRIK ÜRETIM SANAYI VE TICARET ANONIM SIRKETI,Gold Standard Certified Design,"13,9,7","Small, Low - Impact Hydro",Turkey,"RESADÝYE III HEP is a run off river type HEPP built on Kýzýlýrmak river of Turkey.   Expected annuaþl generation is 155 GWh per year. Whereas corresponding   emission reduciton is 97,650 t CO2",95480,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1861,6445,VPA - Spouts - 3,Believe Green LLC,Gold Standard Certified Project,"13,6,12",Energy Efficiency - Domestic,Uganda,This is a micro-scale safe drinking water project in Uganda. Our local partner Spouts is implementing the project on the ground. This specific VPA covers sales of filters for up to the micro-scale limit of of 10ktCO2. Additional VPAs associated with Spouts in Uganda will cover additional sales of water filters.,10000,Not provided,Micro scale,VPA,5705.0,0
1862,6444,VPA - Spouts - 2,Believe Green LLC,Gold Standard Certified Project,"13,6,12",Energy Efficiency - Domestic,Uganda,This is a micro-scale safe drinking water project in Uganda. Our local partner Spouts is implementing the project on the ground. This specific VPA covers sales of filters for up to the micro-scale limit of of 10ktCO2. Additional VPAs associated with Spouts in Uganda will cover additional sales of water filters.,10000,Not provided,Micro scale,VPA,5705.0,0
1863,6443,"GS5658 VPA 3: Borehole project ""Antonio Giaffreda"" Senegal",Carbonsink (Carbonsink Group S.r.l.),Gold Standard Certified Project,"13,6,3,12",Energy Efficiency - Domestic,Senegal,"The project is developed by an Italian association Energia per lo Sviluppo (EPS) in collaboration with the Italian based company Carbonsink. The project includes the realization of solar powered safe drinking water systems in two rural villages (Ndiass and Toucouleur) and implementation of two purification system on pre-existent water supply systems in two other villages (Dalakh 2 and Louckouk Ndiaye), in the community of Mérina Dakhar, Thiès Region, Senegal. The project foresees to provide safe drinking water to approximately 3,000 persons starting from April 2018. Moreover, verifiable Carbon Dioxide (CO2) emission reductions are achieved through the reduced wood combustion as the need for water purification through boiling is reduced and thus the project will contribute to mitigate the climate change in line with the SDG 13. The project will also raise awareness among population regarding hygiene and contribute to other sustainable development goals like SDG 3, SDG 6 and SDG 12.",10000,GS TPDDTEC v3.1,Micro scale,VPA,5658.0,0
1864,644,RESADIYE-II 26.68 MW HYDROELECTRIC POWER PLANT ,RESADIYE HAMZALI ELEKTRIK ÜRETIM SANAYI VE TICARET ANONIM SIRKETI,Gold Standard Certified Design,"13,9,7","Small, Low - Impact Hydro",Turkey,"Resadiye II HEPP is a run off river type HEPP built on Kelkit  River of Turkey.   Expected annual generation is about 182.41 GWh whereas corresponding emission   reduction is 102,514 tCO2e/year.",102514,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1865,643,16.00 MW RESADIYE-I Hydro Electric Power Plant ,RESADIYE HAMZALI ELEKTRIK ÜRETIM SANAYI VE TICARET ANONIM SIRKETI,Gold Standard Certified Design,"13,9,7","Small, Low - Impact Hydro",Turkey,Resadiye HEPP is a run off river type HEPP built on Kýzýlýrmak River of Turkey.   Installed capacity of the project is 16 MW whereas annual generation is about 120   GWh.,75600,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
1866,642,Bulam 7MW HEPP,Deactivated Projects,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",Turkey,"Bulam HEPP project is located in Kahta River in Adýyaman, Turkey. The installed   capacity is 7 MW. The electricity generation will be 33.44 GWh/year.",21157,ACM0002 Grid-connected electricity generation from renewable sources,Small Scale,Standalone,,0
1867,6252,Accelerating Clean Cooking Solutions in the Mekong Region – Vietnam VPA03,Nexus-Carbon for Development,Gold Standard Certified Design,"13,3,7,8,1",Energy Efficiency - Domestic,Viet Nam,"This proposed VPA is implemented by SNV Vietnam under the PoA by the CME - Nexus for Development. Under this VPA, SNV plans to distribute 46,000 advanced clean cookstove units in Vietnam until 2019. The proposed VPA will replace traditional cooking devices using non-renewable biomass with higher energy efficiency technologies, thereby reducing non-renewable biomass fuel consumption and reducing greenhouse gas emissions.",14496,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,4978.0,0
1868,6289,Renoe Acipayam Solar Power Plant,Cagla Balci Eris,Gold Standard Certified Project,"13,7,8",Solar Thermal - Electricity,Turkey,"Renoe Acipayam Solar Power Plant Project is the 10 MW licensed grid connected solar power plant which is located in Denizli in Turkey. The license of the project was issused by Energy Market Regulatory Authority (EMRA) in 27/07/2017. The electricity will be fed to the grid at Acipayam Transmission Line. Estimated electricity generation is 20,000 MWh per year. The electricity generation will result 10,942 tonnes of CO2/year and total emission reduction will be 54,710 tonnes of CO2e for the first crediting period. The project operational lifetime is 49 years.",10,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,1
1869,6236,GS1247 VPA 135 Zoba Maekel Community Boreholes,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Eritrea,"In this project co2balance and Vita, an Irish Charity that works in Eritrea, will renovate broken boreholes so that they deliver clean, safe water.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1870,6237,GS1247 VPA 136 Zoba Maekel Community Boreholes,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Eritrea,"In this project co2balance and Vita, an Irish Charity that works in Eritrea, will renovate broken boreholes so that they deliver clean, safe water.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
1871,6235,GS1247 VPA 134 Zoba Maekel Community Boreholes,CO2balance UK ltd,Gold Standard Certified Project,"13,6,5,3",Energy Efficiency - Domestic,Eritrea,"In this project co2balance and Vita, an Irish Charity that works in Eritrea, will renovate broken boreholes so that they deliver clean, safe water.",10000,GS TPDDTEC v 1.,Micro scale,VPA,1247.0,0
